姓名,性别,出生年份（年）,年龄（岁）,身高(cm),体重(kg),项目,省份
朱仁学 ,男,1991年,27,181,70,田径,云南省  
张成龙 ,男,1989年,29,173,65,体操,山东省
张航 ,男,1991年,27,180,70,田径,云南省  
张新艳 ,女,1994年,24,164,48,女子中长跑,甘肃省
周鹏 ,男,1989年,29,206,90,篮球,辽宁省
周玉 ,女,1989年,29,174,68,皮划艇静水,湖南省  
张文秀 ,女,1986年,32,182,113,女子链球,辽宁省
张潀 ,女,1990年,28,176,65,水球,天津市
张帅 ,女,1989年,29,177,65,网球,天津市
赵子涵 ,女,1993年,25,173,63,排球,上海市
赵玉雕 ,女,1989年,29,174,70,女子曲棍球,辽宁省
朱启南 ,男,1984年,34,182,67,射击,浙江省
张薇薇 ,女,1990年,28,183,64,女子水球,辽宁省
张国伟 ,男,1991年,27,200,77,男子跳高,山东省  
张楠 ,男,1990年,28,183,75,羽毛球,北京市
朱韦伟 ,女,1990年,28,180,72,赛艇,江苏省
张培萌 ,男,1987年,31,186,86,田径,北京市
赵芸蕾 ,女,1986年,32,173,62,羽毛球,湖北省
周琦 ,男,1996年,22,217,95,篮球,河南省 
翟晓川 ,男,1993年,25,204,100,篮球,河北省 
赵继伟 ,男,1995年,23,185,77,篮球,辽宁省
邹雨宸 ,男,1996年,22,208,108,篮球,辽宁省
